"","3dprinting_w","3dprinting_f","academia_w","academia_f","ai_w","ai_f","android_w","android_f","anime_w","anime_f","apple_w","apple_f","arduino_w","arduino_f","astronomy_w","astronomy_f","aviation_w","aviation_f","avp_w","avp_f","beer_w","beer_f","bicycles_w","bicycles_f","bioinformatics_w","bioinformatics_f","biology_w","biology_f","bitcoin_w","bitcoin_f","blender_w","blender_f","boardgames_w","boardgames_f","bricks_w","bricks_f","buddhism_w","buddhism_f","cardano_w","cardano_f","chemistry_w","chemistry_f","chess_w","chess_f","chinese_w","chinese_f","christianity_w","christianity_f","civicrm_w","civicrm_f","codegolf_w","codegolf_f","codereview_w","codereview_f","coffee_w","coffee_f","cogsci_w","cogsci_f","computergraphics_w","computergraphics_f","conlang_w","conlang_f","cooking_w","cooking_f","craftcms_w","craftcms_f","crafts_w","crafts_f","crypto_w","crypto_f","cs_w","cs_f","cseducators_w","cseducators_f","cstheory_w","cstheory_f","datascience_w","datascience_f","dba_w","dba_f","devops_w","devops_f","diy_w","diy_f","drones_w","drones_f","drupal_w","drupal_f","dsp_w","dsp_f","earthscience_w","earthscience_f","ebooks_w","ebooks_f","economics_w","economics_f","electronics_w","electronics_f","elementaryos_w","elementaryos_f","ell_w","ell_f","emacs_w","emacs_f","engineering_w","engineering_f","english_w","english_f","eosio_w","eosio_f","esperanto_w","esperanto_f","ethereum_w","ethereum_f","expatriates_w","expatriates_f","expressionengine_w","expressionengine_f","fitness_w","fitness_f","freelancing_w","freelancing_f","french_w","french_f","gamedev_w","gamedev_f","gardening_w","gardening_f","genealogy_w","genealogy_f","german_w","german_f","gis_w","gis_f","graphicdesign_w","graphicdesign_f","ham_w","ham_f","hardwarerecs_w","hardwarerecs_f","health_w","health_f","hermeneutics_w","hermeneutics_f","hinduism_w","hinduism_f","history_w","history_f","homebrew_w","homebrew_f","hsm_w","hsm_f","interpersonal_w","interpersonal_f","iota_w","iota_f","islam_w","islam_f","italian_w","italian_f","japanese_w","japanese_f","joomla_w","joomla_f","judaism_w","judaism_f","korean_w","korean_f","languagelearning_w","languagelearning_f","latin_w","latin_f","law_w","law_f","lifehacks_w","lifehacks_f","linguistics_w","linguistics_f","literature_w","literature_f","magento_w","magento_f","martialarts_w","martialarts_f","materials_w","materials_f","math_w","math_f","matheducators_w","matheducators_f","mathematica_w","mathematica_f","mechanics_w","mechanics_f","moderators_w","moderators_f","money_w","money_f","movies_w","movies_f","music_w","music_f","musicfans_w","musicfans_f","mythology_w","mythology_f","physics_w","physics_f","pm_w","pm_f","poker_w","poker_f","politics_w","politics_f","portuguese_w","portuguese_f","pt_w","pt_f","puzzling_w","puzzling_f","quant_w","quant_f","quantumcomputing_w","quantumcomputing_f","raspberrypi_w","raspberrypi_f","retrocomputing_w","retrocomputing_f","reverseengineering_w","reverseengineering_f","robotics_w","robotics_f","rpg_w","rpg_f","ru_w","ru_f","rus_w","rus_f","russian_w","russian_f","salesforce_w","salesforce_f","scicomp_w","scicomp_f","scifi_w","scifi_f","security_w","security_f","sharepoint_w","sharepoint_f","sitecore_w","sitecore_f","skeptics_w","skeptics_f","softwareengineering_w","softwareengineering_f","softwarerecs_w","softwarerecs_f","sound_w","sound_f","space_w","space_f","spanish_w","spanish_f","sports_w","sports_f","sqa_w","sqa_f","stackapps_w","stackapps_f","stats_w","stats_f","stellar_w","stellar_f","superuser_w","superuser_f","sustainability_w","sustainability_f","tex_w","tex_f","tezos_w","tezos_f","tor_w","tor_f","travel_w","travel_f","tridion_w","tridion_f","ukrainian_w","ukrainian_f","unix_w","unix_f","ux_w","ux_f","vegetarianism_w","vegetarianism_f","vi_w","vi_f","webapps_w","webapps_f","webmasters_w","webmasters_f","windowsphone_w","windowsphone_f","woodworking_w","woodworking_f","wordpress_w","wordpress_f","workplace_w","workplace_f","worldbuilding_w","worldbuilding_f","writers_w","writers_f"
"53","support",2023,"thing",23944,"base",4193,"card",14724,"find",3658,"set",27365,"port",7773,"take",5359,"much",10228,"two",2422,"serve",467,"helmet",9836,"fasta",1377,"system",7465,"even",8507,"curve",20385,"1",6152,"train",1034,"path",6296,"now",268,"much",13512,"3",4390,"common",2898,"however",12232,"activity",3721,"byte",18719,"know",27425,"press",613,"give",2789,"space",1464,"consonant",215,"take",11236,"check",3267,"apply",922,"just",13066,"k",17207,"much",1423,"show",4838,"class",10912,"backup",27067,"thing",1661,"time",24113,"quad",280,"find",22749,"fourier",9620,"look",2258,"version",474,"change",5187,"look",26665,"time",1875,"thing",22051,"current",5605,"numb",4398,"call",21937,"permission",507,"even",497,"hash",9592,"credit",2437,"error",3318,"high",6060,"case",1321,"phrase",5473,"give",20529,"day",5718,"online",1849,"say",7170,"10",28197,"really",12380,"repeater",2075,"know",1228,"just",1876,"think",10800,"do",5617,"wikipedia",6784,"find",2812,"law",1192,"without",5550,"1",258,"something",5352,"also",1013,"particle",6313,"category",2362,"moshe",9940,"come",487,"2",656,"noun",1611,"way",8765,"stick",1463,"system",3337,"answer",1983,"datum",22960,"im",2044,"orbital",884,"v",29868,"2",3175,"symbol",22439,"high",9461,"vote",479,"home",19629,"man",6974,"pick",16057,"want",661,"part",758,"go",25729,"company",5057,"3",1474,"president",8836,"exemplos",982,"mesmo",36517,"8",12922,"distribution",6227,"first",2748,"ive",10887,"set",3435,"give",2655,"case",2335,"keep",24515,"flash",3563,"1956",90,"pronounce",1116,"new",31403,"take",4162,"series",18725,"ip",23829,"item",26872,"editor",3188,"thing",4616,"look",24811,"option",5672,"id",4248,"station",7510,"refer",3360,"many",1842,"start",4865,"search",764,"random",29905,"core",350,"device",27425,"low",1151,"create",27801,"value",330,"look",1521,"year",16512,"im",2377,"people",70,"character",28289,"really",17288,"1",334,"press",3840,"filter",8164,"try",12326,"calendar",828,"think",2045,"question",29752,"problem",25391,"still",21163,"start",9546
"54","end",1998,"answer",23625,"want",4137,"back",14550,"novel",3624,"even",27043,"call",7652,"answer",5292,"give",10137,"premiere",2374,"water",466,"wear",9735,"code",1358,"high",7402,"give",8383,"face",20139,"really",6083,"color",1023,"state",6194,"network",267,"group",13425,"question",4341,"give",2863,"spirit",12064,"go",3665,"answer",18204,"numb",27113,"think",611,"mean",2752,"draw",1453,"feature",214,"hot",11142,"custom",3227,"think",915,"signature",12914,"run",17029,"year",1402,"do",4787,"take",10798,"name",26699,"set",1646,"even",23811,"thrust",277,"table",22375,"follow",9514,"plate",2230,"problem",461,"take",5151,"resistance",26268,"may",1850,"speak",21750,"version",5526,"build",4341,"someone",21632,"im",504,"speaker",490,"know",9433,"youre",2429,"list",3283,"stretch",5986,"website",1309,"exemple",5369,"run",20313,"around",5659,"site",1837,"nur",7063,"spatial",27817,"select",12181,"noise",2046,"come",1211,"question",2214,"genesis",10692,"way",5581,"american",6721,"ale",2793,"way",1173,"interest",5450,"first",257,"come",5285,"treccani",1000,"person",6259,"check",2335,"jewish",9850,"find",484,"answer",652,"translate",1578,"go",8689,"back",1442,"come",3296,"example",1965,"load",22652,"ive",2023,"many",874,"proof",29576,"grade",3117,"take",22091,"bad",9330,"really",465,"now",19399,"many",6911,"piano",15890,"much",650,"become",750,"direction",25446,"member",5011,"preflop",1461,"pay",8755,"mean",977,"dentro",35950,"ball",12792,"factor",6164,"rangle",2714,"write",10720,"signal",3400,"go",2618,"however",2297,"adventure",24190,"qt",3468,"1983",74,"speaker",1105,"visualforce",30969,"result",4125,"character",18543,"possible",23600,"problem",26607,"solution",3129,"different",4558,"2",24512,"download",5611,"tool",4219,"source",7426,"translation",3314,"allow",1811,"datum",4822,"script",753,"try",29590,"numb",346,"add",27081,"long",1137,"figure",27456,"hash",329,"website",1493,"site",16357,"extension",2344,"group",82,"read",27830,"try",17122,"however",329,"move",3800,"option",8071,"engine",12135,"problem",821,"different",2018,"blog",29396,"new",25113,"possible",20919,"two",9392
"55","object",1968,"job",23324,"test",4058,"option",14369,"information",3583,"folder",26429,"device",7555,"give",5228,"requirement",10038,"footage",2337,"lager",457,"around",9594,"question",1321,"work",7338,"user",8305,"find",19872,"new",6002,"instruction",1008,"much",6104,"new",267,"say",13338,"draw",4286,"usually",2838,"world",11924,"check",3641,"print",18334,"line",26759,"take",605,"2",2723,"map",1431,"base",212,"bite",11053,"matrix",3193,"keep",906,"example",12800,"datum",16851,"say",1349,"size",4736,"base",10663,"return",26394,"try",1603,"door",23550,"large",275,"know",22080,"case",9382,"just",2220,"html",456,"effect",5108,"go",25878,"know",1840,"take",21491,"buffer",5463,"example",4300,"want",21317,"nodeos",493,"time",486,"state",9261,"germany",2389,"display",3250,"minute",5897,"first",1300,"dun",5301,"easy",20138,"grind",5597,"first",1813,"einen",6982,"project",27402,"line",12041,"im",2026,"cable",1197,"test",2197,"since",10583,"king",5499,"government",6661,"see",2757,"name",1163,"often",5340,"coordinator",254,"life",5229,"form",988,"first",6168,"issue",2316,"write",9753,"translate",478,"sentence",647,"however",1559,"must",8610,"inside",1427,"mark",3250,"order",1931,"run",22343,"punch",2007,"two",861,"time",29281,"book",3059,"package",21780,"air",9202,"change",458,"give",19209,"name",6827,"really",15728,"listen",646,"another",745,"need",25154,"product",4959,"youre",1435,"constitution",8654,"caso",960,"mtodo",35388,"9",12609,"method",6120,"result",2698,"change",10583,"1",3374,"write",2590,"high",2269,"look",23874,"wpf",3503,"2002",87,"come",1090,"org",30178,"just",4087,"something",18392,"email",23330,"know",25609,"im",3084,"2",4493,"run",24221,"create",5545,"even",4171,"energy",7364,"im",3277,"need",1797,"feature",4779,"look",741,"follow",29178,"follow",344,"open",26756,"oil",1129,"instead",27167,"public",324,"tail",1463,"question",16207,"run",2303,"j",82,"server",27446,"take",16964,"example",322,"search",3732,"people",7959,"ive",11981,"turn",800,"many",1978,"version",29032,"manager",24790,"life",20536,"plot",9283
"56","cool",1945,"course",23051,"process",4011,"22",14221,"really",3554,"doesnt",26199,"look",7452,"mean",5172,"turn",9946,"track",2317,"light",456,"two",9479,"first",1302,"acid",7281,"system",8202,"possible",19568,"end",5924,"take",1001,"feel",5953,"utxo",265,"take",13237,"say",4235,"dictionary",2801,"first",11766,"civi",3605,"must",18165,"take",26450,"ive",591,"eg",2693,"model",1412,"go",211,"store",10901,"method",3144,"edge",895,"even",12688,"look",16682,"many",1323,"c",4700,"run",10539,"key",26132,"script",1599,"much",23251,"fpv",272,"term",21788,"question",9282,"however",2183,"time",454,"currency",5047,"give",25457,"driver",1815,"difference",21149,"search",5413,"problem",4260,"sense",20961,"command",487,"sentence",472,"2",9104,"foreign",2360,"store",3208,"strength",5841,"people",1290,"cas",5228,"datum",19952,"lot",5532,"state",1784,"noch",6860,"go",26966,"something",11916,"long",2016,"high",1186,"drink",2180,"refer",10480,"reason",5449,"late",6605,"taste",2722,"earth",1153,"ive",5267,"numb",253,"person",5160,"molto",971,"find",6056,"form",2294,"person",9632,"1",476,"many",645,"thing",1541,"information",8517,"problem",1424,"first",3229,"long",1905,"option",22120,"start",1992,"numb",840,"element",29025,"go",3018,"note",21393,"sure",9120,"come",456,"people",19030,"actually",6774,"look",15506,"take",640,"place",743,"potential",24880,"new",4906,"even",1419,"change",8580,"isso",948,"usando",34880,"do",12467,"series",6073,"work",2639,"build",10437,"two",3353,"malware",2552,"build",2235,"much",23521,"char",3394,"2010",102,"translate",1078,"access",30110,"test",4057,"human",18249,"account",23070,"control",26077,"pipeline",3015,"answer",4441,"take",23982,"must",5466,"mics",4138,"find",7299,"difference",3221,"little",1775,"qa",4729,"library",732,"train",28847,"public",338,"issue",26468,"new",1123,"column",26845,"now",320,"go",1450,"plan",16019,"value",2269,"speak",82,"write",27030,"information",16786,"cook",321,"go",3685,"mail",7874,"much",11852,"button",799,"ive",1955,"server",28641,"leave",24432,"small",20525,"come",9151
"57","small",1927,"really",22747,"approach",3949,"now",14022,"start",3528,"machine",26155,"two",7361,"two",5085,"long",9844,"even",2294,"many",453,"probably",9377,"method",1280,"even",7193,"service",8117,"python",19348,"city",5847,"even",988,"enlightenment",5883,"2",258,"high",13141,"learn",4202,"refer",2768,"old",11620,"version",3570,"4",17382,"try",26136,"extraction",585,"pdf",2657,"matrix",1392,"get",209,"grill",10759,"twig",3101,"two",886,"size",12536,"type",16556,"really",1304,"bound",4666,"test",10391,"issue",25729,"ansible",1582,"take",22957,"change",270,"value",21459,"pixel",9202,"sea",2167,"display",450,"mean",4992,"change",25125,"partition",1789,"someone",20845,"answer",5364,"speed",4202,"answer",20679,"chain",482,"different",452,"change",8703,"give",2340,"find",3176,"know",5779,"experience",1269,"expression",5169,"ive",19766,"two",5490,"go",1749,"verb",6757,"database",26524,"question",11729,"mode",1998,"graphic",1177,"work",2162,"matthew",10383,"follow",5384,"however",6551,"keg",2689,"answer",1145,"mean",5193,"possible",244,"pray",5121,"caso",961,"often",5964,"install",2250,"hear",9522,"dictionary",470,"two",636,"different",1521,"v",8424,"two",1408,"work",3211,"play",1883,"may",21891,"opponent",1963,"property",835,"define",28761,"group",2974,"know",21087,"leak",8979,"doesnt",449,"find",18817,"reason",6714,"low",15320,"jazz",636,"mention",726,"answer",24639,"tool",4859,"want",1398,"court",8526,"uso",932,"cada",34409,"day",12311,"future",6034,"paper",2597,"go",10298,"even",3324,"start",2530,"controller",2216,"point",23181,"y",3432,"25",93,"give",1072,"package",29630,"much",3983,"movie",18098,"set",22834,"field",25441,"event",2963,"fact",4187,"c",23728,"set",5418,"always",4080,"sun",7220,"si",3167,"referee",1747,"unit",4669,"go",716,"error",28545,"wallet",335,"click",26177,"sustainability",1114,"know",26512,"1",318,"access",1429,"try",15883,"application",2246,"6",81,"service",26639,"datum",16629,"oil",317,"register",3657,"friend",7751,"easy",11670,"store",787,"find",1926,"php",28289,"long",24073,"two",20328,"different",9009
"58","wire",1905,"read",22483,"car",3922,"seem",13873,"come",3499,"thing",25887,"current",7280,"observe",5030,"operate",9763,"something",2268,"give",446,"rear",9263,"value",1268,"say",7130,"attack",8041,"light",19128,"im",5781,"ive",980,"follow",5826,"value",258,"case",13001,"example",4157,"follow",2736,"verse",11430,"address",3516,"follow",17493,"follow",25874,"cold",581,"get",2640,"try",1371,"give",208,"chicken",10674,"element",3071,"start",880,"aes",12373,"work",16423,"ask",1287,"interest",4618,"process",10217,"take",25480,"find",1564,"sure",22743,"long",267,"filter",21139,"mean",9108,"level",2149,"mobi",448,"government",4950,"question",24793,"app",1776,"understand",20548,"something",5328,"model",4167,"write",20410,"vote",471,"e",451,"possible",8875,"local",2306,"module",3107,"food",5720,"offer",1255,"tout",5096,"build",19563,"variety",5446,"want",1731,"habe",6646,"table",25932,"draw",11603,"question",1989,"screen",1170,"problem",2135,"point",10266,"soul",5342,"mean",6507,"work",2646,"problem",1135,"now",5125,"store",243,"find",5057,"verb",955,"context",5866,"follow",2221,"possible",9431,"want",462,"lot",628,"though",1501,"apply",8324,"sure",1395,"linguist",3190,"tell",1856,"time",21263,"strike",1949,"just",828,"space",28447,"say",2933,"variable",20817,"wear",8863,"someone",444,"look",18640,"im",6651,"give",15103,"people",633,"version",717,"since",24343,"youre",4809,"bb",1377,"term",8451,"no",923,"string",33927,"since",12119,"r",5983,"even",2570,"question",10150,"support",3297,"question",2489,"thing",2196,"book",22855,"microsoft",3385,"docenti",89,"translation",1060,"contact",29350,"small",3930,"however",17894,"browser",22616,"search",25513,"language",2932,"low",4343,"much",23490,"even",5350,"different",4054,"around",7165,"espaol",3118,"find",1723,"project",4632,"support",711,"just",28185,"know",329,"ip",25893,"answer",1108,"show",26229,"type",316,"even",1409,"stay",15743,"example",2223,"dictionary",79,"case",26247,"window",16460,"reason",315,"code",3617,"ive",7614,"service",11509,"feature",781,"type",1907,"run",27961,"year",23756,"orbit",20136,"many",8900
"59","move",1881,"talk",22255,"set",3880,"sync",13733,"thing",3467,"back",25600,"take",7173,"far",4970,"hour",9666,"really",2249,"long",442,"easy",9160,"r",1253,"process",7062,"much",7931,"press",18891,"ive",5715,"large",969,"work",5761,"file",256,"time",12874,"side",4087,"context",2682,"different",11285,"view",3483,"point",17005,"something",25585,"fine",578,"thing",2616,"coordinate",1363,"work",198,"rice",10570,"find",3038,"type",876,"first",12234,"graph",16287,"level",1267,"prove",4576,"science",10099,"two",25233,"feature",1545,"hole",22436,"speed",267,"time",20806,"output",9034,"force",2127,"drm",439,"just",4902,"grind",24482,"setting",1747,"different",20233,"edit",5252,"answer",4134,"refer",20143,"change",469,"piv",450,"mist",8763,"register",2274,"update",3082,"thing",5661,"write",1248,"word",5030,"different",19375,"area",5386,"different",1724,"er",6571,"base",25531,"set",11441,"say",1974,"battery",1163,"diet",2119,"scripture",10150,"think",5291,"point",6446,"first",2614,"concept",1123,"other",5053,"change",235,"way",4992,"case",946,"take",5806,"server",2210,"read",9343,"seem",453,"much",618,"long",1497,"public",8250,"really",1385,"take",3167,"im",1837,"cart",21345,"give",1921,"result",819,"s",28195,"show",2877,"add",20539,"low",8761,"first",441,"plan",18447,"2",6573,"high",14906,"wikipedia",626,"old",706,"example",24110,"agile",4771,"villain",1359,"candidate",8380,"esta",915,"vai",33439,"box",11978,"2",5932,"however",2542,"supply",10031,"version",3263,"time",2471,"start",2164,"new",22527,"object",3293,"e",63,"go",1043,"find",28929,"1",3874,"name",17757,"give",22426,"check",25105,"module",2903,"point",4299,"database",23234,"know",5291,"track",4023,"possible",7093,"pero",3090,"1",1708,"page",4567,"feature",708,"do",27755,"file",325,"ive",25636,"produce",1102,"give",25902,"may",315,"change",1388,"really",15590,"something",2190,"something",78,"window",25940,"different",16315,"provide",313,"write",3583,"calendar",7523,"lot",11350,"tap",780,"large",1869,"something",27663,"feel",23479,"question",19979,"little",8756
"60","different",1874,"different",22054,"different",3822,"doesnt",13615,"become",3446,"question",25361,"project",7094,"gravitational",4920,"information",9562,"question",2227,"process",436,"new",9083,"case",1233,"need",7002,"long",7849,"camera",18651,"build",5651,"first",962,"help",5677,"daedalus",255,"first",12736,"advantage",4039,"speaker",2638,"heaven",11127,"profile",3454,"golf",17409,"give",25272,"heat",572,"show",2604,"gpu",1351,"something",195,"spin-dry",10482,"return",3008,"fabric",867,"want",12138,"mean",16140,"explain",1257,"0",4527,"first",9956,"select",24867,"project",1514,"first",22183,"give",266,"6",20531,"input",8919,"take",2105,"word",427,"0",4862,"much",24174,"show",1713,"little",19992,"install",5190,"area",4090,"little",19847,"may",464,"look",446,"eth",8617,"thing",2266,"option",3039,"even",5585,"many",1231,"donc",4963,"file",19185,"long",5343,"history",1707,"sein",6477,"google",25103,"take",11349,"part",1953,"gaming",1158,"possible",2097,"greek",10043,"first",5245,"long",6400,"2",2585,"take",1118,"back",4979,"follow",235,"source",4934,"dal",927,"noun",5739,"help",2199,"seem",9246,"hear",451,"take",607,"phrase",1487,"allow",8192,"end",1372,"study",3146,"point",1811,"server",21119,"keep",1905,"band",812,"t",27938,"something",2836,"image",20225,"think",8661,"much",436,"return",18252,"shoot",6505,"even",14728,"start",615,"kill",698,"surface",23880,"developer",4680,"flush",1349,"go",8305,"can",899,"ento",32933,"example",11870,"approach",5885,"say",2519,"available",9883,"load",3235,"debug",2454,"algorithm",2148,"power",22248,"2010",3119,"gecube",62,"dictionary",1031,"know",28113,"software",3819,"still",17601,"secure",22191,"database",24806,"time",2552,"scientific",4265,"say",22948,"able",5233,"give",3973,"1",7049,"language",3026,"know",1694,"give",4521,"provide",702,"fit",27419,"start",318,"error",25340,"air",1087,"however",25638,"datum",314,"onion",1379,"many",15444,"think",2155,"still",77,"doesnt",25634,"menu",16163,"acid",312,"end",3532,"give",7412,"run",11198,"install",765,"know",1839,"display",27385,"someone",23239,"high",19807,"question",8656
"61","change",1586,"faculty",21834,"go",3786,"allow",13502,"give",3419,"take",25110,"1",7012,"effect",4841,"must",9438,"screen",2211,"produce",429,"rim",8943,"however",1216,"little",6943,"many",7775,"datum",18406,"move",5591,"question",957,"seem",5581,"possible",249,"gas",12642,"book",3994,"pinyin",2604,"new",10976,"problem",3410,"also",17206,"two",24981,"2",557,"general",2581,"graphic",1337,"new",193,"sure",10380,"call",2982,"finish",863,"secret",12032,"proof",15978,"algorithm",1249,"g",4499,"approach",9792,"first",24594,"job",1487,"fan",21895,"model",261,"image",20274,"high",8797,"little",2088,"example",421,"much",4821,"problem",23870,"default",1697,"look",19743,"type",5105,"large",4036,"describe",19507,"set",455,"want",444,"store",8503,"france",2242,"allow",3016,"water",5503,"try",1219,"son",4888,"say",19006,"problem",5295,"even",1696,"nach",6378,"result",24679,"change",11233,"small",1938,"id",1148,"pain",2078,"many",9941,"karma",5193,"question",6352,"say",2566,"form",1112,"rude",4914,"now",232,"reason",4870,"dire",925,"little",5671,"know",2182,"different",9138,"even",449,"think",600,"do",1478,"party",8108,"glass",1362,"common",3102,"publish",1783,"update",20847,"leg",1896,"eg",799,"make",27672,"try",2790,"two",19920,"gear",8545,"start",431,"new",18055,"real",6441,"lot",14567,"two",610,"accord",691,"atom",23639,"even",4644,"position",1339,"since",8230,"pelo",892,"porm",32524,"even",11766,"problem",5826,"want",2489,"output",9763,"card",3181,"different",2430,"first",2130,"example",21983,"msdn",3195,"xx",74,"letter",1018,"check",28000,"2",3770,"two",17466,"website",21973,"issue",24475,"search",2830,"really",4210,"something",22672,"add",5187,"noise",3920,"land",6997,"te",2985,"call",1687,"something",4454,"fix",691,"say",26998,"fee",314,"show",25066,"gas",1073,"result",25411,"look",313,"possible",1356,"car",15303,"know",2124,"2015",76,"now",25372,"easy",16018,"water",309,"doesnt",3496,"support",7333,"tag",11089,"available",751,"router",1809,"id",27076,"answer",22906,"without",19622,"point",8565
"62","hot",1839,"help",21608,"say",3766,"samsung",13391,"though",3386,"add",24579,"much",6935,"surface",4811,"rate",9347,"window",2192,"im",423,"even",8860,"count",1206,"large",6877,"accept",7675,"frame",18182,"thing",5544,"many",951,"world",5534,"1",245,"oxygen",12524,"many",3950,"even",2584,"get",10821,"search",3376,"space",16989,"element",24628,"first",551,"high",2549,"direction",1322,"seem",193,"think",10273,"output",2962,"glass",860,"compute",11908,"just",15833,"easy",1241,"get",4473,"go",9658,"insert",24326,"look",1473,"know",21636,"take",259,"something",19710,"numb",8705,"area",2066,"answer",419,"work",4785,"part",23615,"desktop",1676,"many",19508,"frame",5066,"even",3992,"usage",19125,"function",445,"however",439,"smart",8382,"ask",2227,"image",2984,"lift",5453,"etc",1207,"can",4842,"language",18847,"enough",5236,"page",1680,"hier",6283,"take",24358,"much",11088,"example",1916,"year",1134,"symptom",2065,"just",9826,"two",5121,"will",6293,"sure",2527,"go",1105,"start",4850,"example",231,"arabic",4817,"sentence",917,"end",5581,"website",2163,"food",9058,"understand",434,"dictionary",593,"s",1468,"property",8048,"usually",1347,"part",3063,"chapter",1769,"site",20558,"many",1880,"way",792,"good",27413,"theorem",2742,"show",19645,"keep",8445,"system",421,"insurance",17858,"late",6402,"c",14423,"really",609,"late",688,"term",23408,"look",4583,"river",1308,"congress",8157,"bem",879,"essa",32027,"think",11592,"test",5772,"input",2466,"package",9654,"screen",3163,"read",2408,"little",2110,"monster",21657,"div",3078,"18",75,"usually",1005,"go",27544,"even",3674,"universe",17338,"say",21764,"column",24181,"link",2790,"look",4171,"value",22410,"try",5119,"project",3866,"power",6956,"sound",2940,"club",1673,"much",4395,"query",683,"effect",26633,"go",307,"help",24788,"electricity",1062,"case",25100,"network",302,"anonymity",1315,"tourist",15180,"help",2102,"follow",75,"version",25066,"point",15868,"im",305,"look",3459,"application",7216,"even",10941,"back",748,"youre",1792,"field",26744,"first",22650,"lot",19439,"end",8457
"63","question",1819,"advisor",21374,"much",3722,"setting",12990,"work",3359,"free",24613,"input",6873,"do",4747,"case",9251,"sure",2180,"thing",421,"put",8791,"length",1199,"evolution",6800,"power",7599,"different",17947,"4",5493,"seem",940,"day",5488,"give",245,"charge",12412,"variation",3893,"however",2559,"genesis",10679,"datum",3330,"return",16470,"input",24358,"keep",547,"term",2532,"3d",1315,"speaker",193,"leave",10182,"possible",2939,"easy",851,"question",11773,"solution",15708,"answer",1222,"tree",4443,"new",9525,"look",24055,"developer",1454,"turn",21446,"first",258,"database",19839,"think",8603,"earthquake",2046,"author",412,"first",4753,"schematic",23369,"help",1664,"refer",19245,"question",5034,"look",3958,"another",18755,"cpu",440,"kiu",438,"user",8272,"day",2206,"think",2953,"leg",5381,"payment",1191,"dune",4796,"play",18665,"sure",5189,"image",1662,"know",6168,"give",23984,"point",10983,"point",1900,"less",1123,"way",2041,"law",9696,"mention",5082,"great",6247,"cool",2499,"just",1100,"group",4778,"look",223,"just",4755,"dei",902,"speaker",5498,"problem",2139,"bring",8964,"subject",432,"chinese",591,"take",1461,"judge",7972,"tape",1335,"get",3035,"language",1755,"layout",20315,"even",1855,"simulation",778,"think",27170,"idea",2714,"think",19437,"even",8334,"im",410,"long",17698,"life",6353,"many",14223,"something",607,"life",686,"x",23217,"many",4545,"first",1297,"rule",8093,"porque",875,"tambm",31598,"end",11206,"try",5704,"x",2441,"2",9582,"register",3134,"version",2390,"arm",2090,"little",21349,"server",3105,"19351940",85,"usage",995,"issue",26768,"model",3595,"want",17228,"check",21515,"group",23920,"check",2745,"report",4138,"server",22184,"page",5070,"edit",3802,"problem",6897,"different",2893,"even",1658,"check",4342,"include",673,"n",26227,"submit",304,"folder",24536,"fuel",1061,"now",24822,"smart",299,"system",1304,"thing",14995,"cm",2060,"kyiv",75,"bash",24785,"say",15714,"add",302,"something",3410,"show",7116,"change",10817,"live",742,"first",1768,"menu",26457,"tell",22410,"new",19274,"interest",8365
"64","even",1797,"experience",21152,"search",3675,"change",13121,"game",3333,"option",24347,"high",6807,"due",4693,"thing",9159,"able",2158,"still",418,"give",8698,"information",1195,"result",6746,"account",7535,"two",17750,"see",5437,"plate",931,"etc",5424,"think",245,"metal",12287,"gambit",3845,"come",2531,"father",10550,"mail",3285,"find",16299,"go",24026,"pot",546,"individual",2521,"take",1296,"mark",187,"garlic",10098,"cache",2922,"first",843,"prime",11646,"search",15553,"etc",1207,"program",4398,"say",9395,"know",23789,"aw",1429,"now",21227,"thing",258,"taxonomy",19597,"phase",8521,"point",2021,"change",410,"paper",4724,"mean",23087,"create",1616,"term",18989,"different",4955,"im",3928,"new",18488,"stake",434,"two",433,"follow",8178,"money",2189,"search",2935,"really",5313,"year",1178,"dire",4728,"development",18470,"thing",5129,"genealogical",1653,"wort",6084,"support",23695,"even",10895,"wave",1882,"ssd",1122,"cancer",2025,"way",9626,"part",5031,"way",6206,"ferment",2492,"number",1092,"still",4710,"case",222,"mention",4716,"tra",885,"since",5411,"class",2088,"us",8884,"correct",420,"book",588,"read",1449,"code",7915,"top",1319,"difference",3017,"life",1736,"know",20032,"right",1828,"want",767,"example",26900,"part",2681,"argument",19131,"long",8211,"find",406,"market",17505,"book",6309,"right",14064,"question",603,"great",682,"first",22953,"experience",4513,"high",1291,"know",8022,"2",867,"tabela",31084,"work",10853,"two",5666,"apply",2425,"server",9491,"amiga",3112,"case",2359,"model",2082,"first",21124,"p",3105,"2012",70,"actually",981,"name",26321,"go",3573,"answer",17089,"application",21318,"access",23635,"cache",2718,"state",4104,"mean",21960,"different",5030,"sure",3755,"low",6829,"yo",2854,"say",1654,"ive",4310,"contact",668,"analysis",25844,"sign",301,"first",24308,"paper",1050,"macro",24594,"tezosclient",296,"however",1291,"two",14862,"list",2042,"make",74,"device",24474,"test",15584,"different",299,"directory",3381,"check",7042,"create",10693,"start",738,"back",1748,"edit",26178,"keep",22078,"2",19131,"publisher",8287
